"Source Type","Source","Img","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","ID","GL","✓"
"Follow-Up Status","Anguished Rose Follow-Up","","Anguished Rose","BLK","Single enemy","Magical","7.80","Earth, Dark, NE","0.01","Four single attacks (1.95 each)","Y","Lowest HP% enemy","0","Black Magic","30541049","✓","✓"
"Follow-Up Status","Hero's Barrage Follow-Up","","Hero's Barrage","PHY","Single enemy","Physical","1.80","Ice, NE","0.01","Four single attacks (0.45 each)","Y","Lowest HP% enemy","0","Monk","30548321","✓","✓"
"Follow-Up Status","Kaus Australis Follow-Up","","Kaus Australis","BLK","Single enemy","Magical","16.40","Earth, NE","0.01","One single attack (16.40) capped at 99999","Y","Lowest HP% enemy","0","Black Magic","30541147","✓","✓"
"Follow-Up Status","Resist Break Follow-Up","","Earth Resist Break","NAT","Single enemy","","","","0.01","Causes [Imperil Earth 10%] for 15 seconds","Y","Lowest HP% enemy","0","Black Magic","30541201","✓","✓"
"Follow-Up Status","Resist Break Follow-Up","","Wind Resist Break","NAT","Single enemy","","","","0.01","Causes [Imperil Wind 10%] for 15 seconds","Y","Lowest HP% enemy","0","Black Magic","30541202","✓","✓"
"Follow-Up Status","Resist Break Follow-Up","","Dark Resist Break","NAT","Single enemy","","","","0.01","Causes [Imperil Dark 10%] for 15 seconds","Y","Lowest HP% enemy","0","Black Magic","30541203","✓","✓"
"Follow-Up Status","Sinister Incursion Follow-Up","","Sinister Incursion 1","BLK","Single enemy","Magical","8.16","Dark, NE","0.01","Four single attacks (2.04 each)","Y","Lowest HP% enemy","0","Darkness","30541579","✓","✓"
"Follow-Up Status","Sinister Incursion Follow-Up","","Sinister Incursion 2","BLK","Single enemy","Magical","8.16","Dark, NE","0.01","Four single attacks (2.04 each), grants [Buff Dark 10% (15s)] to all allies","Y","Lowest HP% enemy","0","Darkness","30541579","✓","✓"
"Follow-Up Status","Beloved Homeland Follow-Up","","Beloved Homeland","NAT","Single enemy","Hybrid","","Fire, NE","0.01","Four single ranged hybrid attacks (0.28 or 1.00 each), grants [PHY +30% Boost 1] or [Magical +30% Boost 1] to all allies, 100% hit rate","Y","Lowest HP% enemy","0","Support","30545089","✓","✓"
"Follow-Up Status","Beloved Homeland Follow-Up","","Lost Nation","NAT","Single enemy","Hybrid","","Fire, NE","0.01","Four single ranged hybrid attacks (0.28 or 1.00 each), causes [ATK and DEF -50% (15s)]/[MAG and RES -50% (15s)] after 1/2+2n uses, 100% hit rate","Y","Lowest HP% enemy","0","Support","30545090","✓","✓"
"Follow-Up Status","Lifelong Devotion Follow-Up","","Lifelong Devotion","NAT","Self","","","","0.01","Grants [Attach Fire] and [Fire +30% Boost 1]/[Fire +50% Boost 1]/[Fire +70% Boost 1] to the user if 0/1/2 of Gordon or Hilda are alive","N","Self","0","Special","30545092","✓","✓"
"Follow-Up Status","Vengeful Earth Follow-Up","","Vengeful Earth","PHY","Single enemy","Physical","1.80","Earth, NE","0.01","One single attack (1.80), causes [Imperil Earth 10% (15s)] and [DEF, RES and MND -70% (8s)], 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540031","✓","✓"
"Follow-Up Status","Gaia Stamp Follow-Up","","Gaia Stamp","PHY","Single enemy","Physical","","Earth, NE","0.01","Four single attacks (? each), grants [Quick Cast 1] to all allies in the character's row","Y","Lowest HP% enemy","0","Monk","31540032","✓","✓"
"Follow-Up Status","Dim Spray Follow-Up","","Dim Spray","PHY","Single enemy","Physical","2.00","Water, NE","0.01","Four single attacks (0.50 each), 100% hit rate","Y","Lowest HP% enemy","0","Thief","31540123","✓","✓"
"Follow-Up Status","Marine Edge Follow-Up","","Marine Edge","PHY","Single enemy","Physical","1.95","Water, NE","0.01","Five single attacks (0.39 each), 100% hit rate, causes [Imperil Water 10% (15s)] every second use","Y","Lowest HP% enemy","0","Thief","31540118","✓","✓"
"Follow-Up Status","Dismal Tempest Follow-Up","","Dismal Tempest","BLK","Single enemy","Magical","11.07","Dark, Earth, Wind, NE","0.01","One single attack (11.07) capped at 99999, causes [Imperil Dark 10% (15s)], [Imperil Earth 10% (15s)] and [Imperil Wind 10% (15s)]","Y","Lowest HP% enemy","0","Black Magic","31540485","✓","✓"
"Follow-Up Status","Chain of Arms Mode","","Plummet","PHY","Single enemy","Physical","5.28","Ice, NE","0.01","One single attack (5.28) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Samurai","31540909","✓","✓"
"Follow-Up Status","Awoken Mastery","","Weapon Waltz","PHY","Single enemy","Physical","5.60","Holy, Ice, Fire, NE","0.01","4/6/8 single attacks (0.70 each) if the user's HP is greater than or equal to 0/34/67%, 100% hit rate","Y","Lowest HP% enemy","0","Samurai","31540918","✓","✓"
"Follow-Up Status","Enhanced Mastery Mode","","Straightarrow","PHY","Single enemy","Physical","1.90","Holy, Ice, Fire, NE","0.01","Five single ranged attacks (0.38 each)","Y","Lowest HP% enemy","0","Samurai","31540925","✓","✓"
"Follow-Up Status","Stout Archer Mode","","Mash VIII","BLK","Single enemy","Magical","8.16","Earth, NE","0.01","Four single attacks (2.04 each)","Y","Lowest HP% enemy","0","Black Magic","31541000","✓","✓"
"Follow-Up Status","Aqua Venom Follow-Up","","Aqua Venom","PHY","Single enemy","Physical","1.28","Water, Poison, NE","0.01","Four single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Thief","31541115","✓","✓"
"Follow-Up Status","Stalwart Survivor Mode","","Boost Morale","NAT","All allies","","","","0.01","Grants [Last Stand], grants [Buff Ice 50% (5s)] to the user, removes Stalwart Survivor Mode from the user","N","All allies","0","Monk","31541135","✓","✓"
"Follow-Up Status","Colossal Fist Follow-Up","","Colossal Fist","PHY","Single enemy","Physical","1.00","Earth, NE","0.01","One single attack (1.00), 100% hit rate, 100% additional critical chance, grants [Damage Cap +10000 1] to the user after every third use","Y","Lowest HP% enemy","0","Monk","31541295","✓","✓"
"Follow-Up Status","Dual Awoken Imperial Mode II (Emperor)","","Dual Martial Might","NAT","Single enemy","","","","0.01","Causes [ATK and MAG -50% (8s)]/[DEF and RES -50% (8s)] every 1+2n/2+2n casts, grants [Quick Cast 1] to all allies","N","Lowest HP% enemy","0","Black Magic","31541532","✓","✓"
"Follow-Up Status","Dual Blessing of Gaia Mode","","Dual Rock Impact","PHY","Single enemy","Physical","6.40","Earth, NE","0.01","One single attack (6.40) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Monk","31541534","✓","✓"
"Follow-Up Status","Troubled Heart Mode","","Fiery Assault","PHY","Single enemy","Physical","3.36","Fire, NE","0.01","One single attack (1.76/3.36) capped at 99999 if 0-3/4+ FF2 allies are alive, 0%/100% additional critical chance if 0-3/4+ FF2 allies are alive, grants [Quick Cast 1] to the user if 4+ FF2 allies are alive","Y","Lowest HP% enemy","0","Spellblade","31541539","✓","✓"
"Follow-Up Status","Dual Awoken Earth Mode II (Maria)","","Dual Shattering Meteor","BLK","Single enemy","Magical","8.46","Earth, NE","0.01","One single attack (8.46) capped at 99999, grants [Buff Earth 10% (15s)] to the user","Y","Lowest HP% enemy","0","Black Magic","31541598","✓","✓"
"Follow-Up Status","Sisterly Spirit Mode","","Scourge Splash (Water)","NAT","Self","","","","0.01","Grants [Instant Cast 1], [Soul Break Gauge +250], removes Sisterly Spirit Mode from the user","N","Self","0","Special","31541733","✓","✓"
"Follow-Up Status","Sisterly Spirit Mode","","Scourge Splash (Poison)","NAT","Single enemy","","","","0.01","Causes [Imperil Poison 10% (15s)], grants [Buff Poison 10% (15s)] to all allies, grants [Attach Poison] to the user, removes Sisterly Spirit Mode from the user","N","Lowest HP% enemy","0","Special","31541734","✓","✓"
"Follow-Up Status","Chain Force Mode: Josef (Ice)","","Ice Guidance: Josef","PHY","Single enemy","Physical","0.96","Ice, NE","0.01","Three single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","31541952","✓","✓"
"Follow-Up Status","Chain Force Mode: Maria","","Kindred Guidance: Maria","BLK","Single enemy","Magical","8.20","Earth, NE","0.01","One single attack (7.80/8.20) capped at 99999 scaling with [Kindred Guidance: Maria Uses], grants [Earth Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","31541954","✓","✓"
"Follow-Up Status","Dual Awoken Sovereign Mode I (Gordon)","","Dual Sorrow of a Nation","NAT","Single enemy","Hybrid","","Fire, Earth, Ice, NE","0.01","Four single ranged hybrid attacks (0.48 or 1.98 each), causes [ATK and DEF -50% (15s)]/[MAG and RES -50% (15s)]/[ATK, DEF, MAG and RES -50% (15s)] after 1+3n/2+3n/3+3n uses","Y","Lowest HP% enemy","0","Support","31542238","","✓"
"Follow-Up Status","Dual Awoken Brilliance Mode I (Hilda)","","Dual Prepared Princess","NAT","All allies","","","","0.01","Grants [HP Stock (500)]/[HP Stock (1000)]/[HP Stock (1500)]/[HP Stock (2000)]/[HP Stock (3000)] at rank 1/2/3/4/5 of the triggering ability","N","All allies","0","White Magic","31542241","","✓"
"Follow-Up Status","Dual Awoken Brilliance Mode II (Hilda)","","Dual Peace Waltz","WHT","All allies","","","","0.01","Restores HP (55), grants [50% Damage Reduction Barrier 1] and [Quick Cast 1]","N","All allies","0","White Magic","31542242","","✓"
"Follow-Up Status","Dual Awoken Water Mode II (Leila)","","Dual Aqua Gaze","PHY","Single enemy","Physical","2.95","Water, NE","0.01","Five single attacks (0.59 each), 100% hit rate, causes [Imperil Water 20% (5s)], grants [100% Critical (15s)] to the user","Y","Lowest HP% enemy","0","Thief","31542236","","✓"
"Follow-Up Status","Dual Awoken Retainer Mode II (Firion)","","Dual Frost Sword","PHY","Single enemy","Physical","2.64","Ice, NE","0.01","One single attack (2.64) capped at 99999, 100% hit rate, grants [100% Critical 3] and [Deadly Strikes +20% 3] to the user","Y","Lowest HP% enemy","0","Samurai","31542232","","✓"
"Follow-Up Status","Master of Arms Mode","","Ice Blow","PHY","Single enemy","Physical","3.52","Ice, NE","0.01","One single attack (3.52) capped at 99999, 100% hit rate, grants [Weakness +30% Boost 1] and [Instant Cast 1] to all allies","Y","Lowest HP% enemy","0","Samurai","31542228","","✓"
"Follow-Up Status","Awoken Kashuan Prince","","Relentless Flame Slash","PHY","Single enemy","Physical","4.32","Fire, NE","0.01","Six single attacks (0.72 each), 100% hit rate, grants [Spellblade +30% Boost 1] to all allies every third cast","Y","Lowest HP% enemy","0","Spellblade","31542477","","✓"
"Follow-Up Status","Zenith Mode: Vivi (Fire)","","Spirit Attack: Vivi (Fire)","NAT","Self","","","","0.01","Grants [Buff Fire 20% (15s)] and [Fire Ability Instant Cast 3] to the user","N","Self","0","Special","31542451","✓","✓"
"Follow-Up Status","Chain Force Mode: Firion","","Fire Guidance: Firion","PHY","Single enemy","Physical","2.05","Fire, NE","0.01","One single attack (1.95/2.05) capped at 99999 scaling with [Fire Guidance: Firion Uses], 100% hit rate, grants [Fire Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Samurai","31542456","","✓"
"Follow-Up Status","Zenith Mode: Lightning (Lightning)","","Spirit Attack: Lightning (Lightning)","NAT","Self","","","","0.01","Grants [100% Critical 5] and [Instant Cast 5] to the user","N","Self","0","Special","31542458","✓","✓"
"Follow-Up Status","Gale Spear Follow-Up","","Gale Spear","PHY","Single enemy","Physical","1.92","Wind, NE","0.01","Six single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Dragoon","30548112","✓","✓"
"Follow-Up Status","Dia Splash Follow-Up","","Dia Splash","WHT","Single enemy","Magical","9.78","Holy, Water, NE","0.01","2/3/4/5/6 single attacks (1.63 each) at rank 1/2/3/4/5 of the triggering ability","Y","Lowest HP% enemy","0","White Magic","30542054","✓","✓"
"Follow-Up Status","Blessed Shower Follow-Up","","Water Blessed Shower","NAT","Self","","","","0.01","Grants [Water Ability +30% Boost 1] and [Attach Water] to the user","N","Self","0","White Magic","","",""
"Follow-Up Status","Blessed Shower Follow-Up","","Holy Blessed Shower","NAT","Self","","","","0.01","Grants [Holy Ability +30% Boost 1] and [Attach Holy] to the user","N","Self","0","White Magic","","",""
"Follow-Up Status","Wisdom of Ur Follow-Up","","Wisdom of Ur","NAT","Self","","","","0.01","Grants [Quick Cast 1] and [Water, Holy Ability +30% Boost 1]","N","Self","0","White Magic","","",""
"Follow-Up Status","Explosive Rush Mode 1/2/3","","Skydance Firestorm","PHY","Single enemy","Physical","1.60","Fire, NE","0.01","4/4/5/6 single attacks (0.40 each) if the user has Explosive Rush Mode 0/1/2/3, 100% hit rate","Y","Lowest HP% enemy","0","Monk","30548129","✓","✓"
"Follow-Up Status","Titan Strike Follow-Up","","Titan Strike","PHY","Single enemy","Physical","2.04","Earth, NE","0.01","4/5/6 single attacks (0.34 each) at 798/2736 DEF, 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548143","✓","✓"
"Follow-Up Status","Light's Wisdom EX Mode","","Wind Onion Magic","BLK","Single enemy","Magical","7.95","Wind, NE","0.01","Five single attacks (1.59 each)","Y","Lowest HP% enemy","0","Black Magic","30541091","✓","✓"
"Follow-Up Status","Light's Wisdom EX Mode","","Water Onion Magic","BLK","Single enemy","Magical","7.95","Water, NE","0.01","Five single attacks (1.59 each)","Y","Lowest HP% enemy","0","Black Magic","30541092","✓","✓"
"Follow-Up Status","Light's Wisdom EX Mode","","Fire Onion Magic","BLK","Single enemy","Magical","7.95","Fire, NE","0.01","Five single attacks (1.59 each)","Y","Lowest HP% enemy","0","Black Magic","30541093","✓","✓"
"Follow-Up Status","Light's Wisdom EX Mode","","Earth Onion Magic","BLK","Single enemy","Magical","7.95","Earth, NE","0.01","Five single attacks (1.59 each)","Y","Lowest HP% enemy","0","Black Magic","30541094","✓","✓"
"Follow-Up Status","Lightning Follow-Up","","Lightning","BLK","All enemies","Magical","4.40","Dark, Lightning, NE","0.01","One group attack (4.40)","Y","All enemies","0","Black Magic","30520320","✓","✓"
"Follow-Up Status","Dark Portent Follow-Up","","Dark Portent","NAT","All allies","","","","0.01","Grants [Dark +30% Boost 1]","N","All allies","0","Darkness","","",""
"Follow-Up Status","Esoteric Light EX Mode","","Serpent's Blessing","SUM","Single enemy","Magical","7.95","Water, NE","0.01","Five single attacks (1.59 each), restores HP (25) to all allies","N","Lowest HP% enemy","0","Summoning","30543067","✓","✓"
"Follow-Up Status","Boltstorm Spear Follow-Up","","Boltstorm Spear","PHY","Single enemy","Physical","5.20","Lightning, Wind, NE","0.01","One single ranged attack (5.20) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Dragoon","30548118","✓","✓"
"Follow-Up Status","Onion Sorcery Follow-Up","","Onion Sorcery","BLK","Single enemy","Magical","15.65","Wind, Water, Fire, Earth, NE","0.01","One single attack (15.65), capped at 99999","Y","Lowest HP% enemy","0","Black Magic","30541353","✓","✓"
"Follow-Up Status","Gentle Thunder Follow-Up","","Gentle Thunder","BLK","Single enemy","Magical","7.92","Lightning, NE","0.01","4/4/4/6 single attacks (1.32 each) if 0-1/2/3/4 female allies are alive, grants [Quick Cast 1] to all allies in the character's row if 2 or more female allies are alive, grants [Buff Lightning 10% (15s)] to all allies if 3 or more female allies are alive","Y","Lowest HP% enemy","0","Black Magic","30541139","✓","✓"
"Follow-Up Status","Sacred Breath Follow-Up","","Sacred Breath","WHT","Single enemy","","","","0.01","Causes [Imperil Holy 10% (15s)] and [Imperil Water 10% (15s)]","Y","Lowest HP% enemy","0","White Magic","30543069","✓","✓"
"Follow-Up Status","Blacksmith's Daughter Mode","","Fist of Kazus","PHY","Single enemy","Physical","2.01","Fire, NE","0.01","Three single attacks (0.67 each), 0/0/50/50/100% additional critical chance if 0/1/2/3/4+ FF3 allies are alive, grants [Quick Cast 1]/[Quick Cast 1]/[High Quick Cast 1] to the user/allies in the same row/allies in the same row if 0-2/3/4+ FF3 allies are alive, 100% hit rate","Y","Lowest HP% enemy","0","Monk","30544427","✓","✓"
"Follow-Up Status","Awoken Shadow Ninja","","Unleashed Power","PHY","Single enemy","Physical","4.14","Wind, Water, Fire, Earth, NE","0.01","Six single attacks (0.69 each), 100% hit rate","Y","Lowest HP% enemy","0","Ninja","30544425","✓","✓"
"Follow-Up Status","Blast Lance Follow-Up","","Blast Lance","PHY","Single enemy","Physical","3.46","Wind, NE","0.01","One single ranged attack (3.46) capped at 99999, 0%/100%/100% additional critical chance and 0%/0%/20% additional critical damage if 0/2/3 of Arc, Refia or Ingus are alive, 100% hit rate","Y","Lowest HP% enemy","0","Dragoon","31540289","✓","✓"
"Follow-Up Status","Relentless Blaze Follow-Up","","Relentless Blaze","PHY","Single enemy","Physical","5.85","Fire, NE","0.01","5/10/15 single attacks (0.39 each) scaling with uses, 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540685","✓","✓"
"Follow-Up Status","Scattering Blast Follow-Up","","Scattering Blast","PHY","Single enemy","Physical","2.00","Fire, NE","0.01","Four single attacks (0.50 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540688","✓","✓"
"Follow-Up Status","Fealty Mode","","Knight's Espada","PHY","Single enemy","Physical","3.52","Earth, NE","0.01","One single attack (3.52) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Knight","31541030","✓","✓"
